Virus,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50,TP51,TP52,TP53,TP54,TP55,TP56,TP57,TP58,TP59,TP60,TP61,TP62,TP63,TP64,TP65,TP66,TP67,TP68,TP69,TP70,TP71,TP72,TP73,TP74,TP75,TP76,TP77,TP78,TP79,TP80,TP81,TP82,TP83,TP84,TP85,TP86,TP87,TP88,TP89,TP90,TP91,TP92,TP93,TP94,TP95,TP96,TP97,TP98,TP99,TP100,TP101,TP102,TP103,TP104,TP105,TP106,TP107
TTMDV-AMS-S1-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000903795,0,0,0.019553181,0,0,0.051883563,0,0,0.003352717,0.006533045,0,0,0.004102803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMDV-AMS-S1-35,0,0,0,0,0,0,0,0,0,0,0,0.007366948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMDV-AMS-S1-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002161788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMDV-AMS-S1-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014509638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMDV-AMS-S1-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006350282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMDV-AMS-S1-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01133181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMDV-AMS-S1-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001241567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-41,0,0,0.018442131,0.118032825,0.017452541,0.195305414,0.086838288,0,0,0.187736002,0.068034431,0.047432086,0.096490345,0.000417362,0.047142367,0.013580642,0.00042806,0.05271646,0.011472264,0.022911575,0.051704946,0,0.02906315,0.059527505,0,0.01718291,0.010938916,0.024843009,0.021670901,0.011733133,0,0.126983229,0.00662957,0,0.029263351,0,0.017443097,0.001154651,0.008483958,0,0,0.024326767,0,0.020078179,0.10850402,0.009711831,0.041163153,0.014790817,0.002493074,0.09943676,0.014582708,0.004731267,0.006424792,0.059866221,0.108313615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-42,0.001318444,0,0,0,0,0,0.02146745,0,0,0,0,0.002694938,0,0.023412036,0,0.010592408,0.009232601,0.006098176,0.012017371,0,0,0,0,0,0,0,0,0.001118335,0,0.020213338,0,0,0.087684215,0.020897205,0.011689754,0,0,0.001131277,0,0,0,0.014791961,0,0.014602825,0.034111589,0.00097926,0.019343427,0.015639312,0.0005594,0.030521729,0.003936093,0.014350337,0.022967282,0.019899666,4.31269E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-43,0,0,0,0,0,0,0.001006551,0,0,0,0,0.01221107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-44,0.95723188,0.012077435,0.000142329,9.5002E-05,6.50643E-05,0.000363503,0,0.001906014,0,0,0,0,0,0.000655855,0,0,0,0,0,0,0,0,0,0.000188466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001524068,0.000419458,0.860729935,0,0,0,0,0,0,0,0,6.80446E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-46,0,0,0,0,0,0,0.028906623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052724,0,0,0,0,0,0,0,0,0,0,0.000647446,0,0.006457827,0,0.000922723,0,0.014179473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-48,0,0,0,0,0,0,0,0,0,0,0,0.002856752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-49,0,0,0,0,0,0,0,0,0,0,0,0,0.037009444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011596709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009179826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16270731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030706082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008846672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTMV-AMS-S1-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118272708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-01,0.001020627,0.001263434,0.002366876,0,0,0,0.13114345,0,0.005623573,0.055389438,0.065193784,0.000161814,0.055554437,0.269725336,0.552244184,0.506342086,0.446389933,0.090716662,0.348351253,0.096622122,0.253409294,0.120101673,0.347442992,0.464878828,0.211618367,0.346100112,0.262634711,0.386754742,0.692422657,0.275866431,0.471952875,0.355875928,0.532843542,0.345852119,0.227521577,0.798541865,0.397574984,0.498488903,0.522216708,0.112220454,0.130746373,0.312443513,0.64516129,0.254747894,0.01118984,0.035522012,0.272312627,0.187797094,0.012835365,0.268201939,0.067717422,0.381127326,0.30494547,0.228428094,0.059862013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-02,0,0.000939264,0,0,0,0,0,0,0,0,0,0,0,0.000606169,0,0.000219723,0.001838311,0.217820784,0.037734088,0.022864862,0.120200174,0.174857022,0.253875741,0.05563901,0.246596609,0.256710768,0.26051962,0.133753497,0.017934539,0.049200548,0,0,0,0.083160505,0.04479124,0,0,0,0,0,0,0,0,0,0.067629483,0.005262957,0.009141078,0.047265049,0.002017363,0,0.004907821,0,0,0.018561873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010797024,0,0,0,0,0.049889774,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-03,0,0,0.155301882,0,0.143275413,0,0,0,0,0,0,0.042003963,0,0.000725415,0,0.020258465,0,0.042032053,0.032954452,0,0,0.098707901,0.125044154,0.144838806,0,0,0.014442172,0.009403142,0.013899268,0.039319776,0.076109707,0.004303705,0.017562927,0.035099188,0.015508407,0,0,0.012158893,0,0.007236787,0.020319874,0,0,0.023738764,0.034969864,0,0.030451394,0.01930327,0.006380242,0.046643816,0.008945666,0.00322659,0.022211424,0,0.010050478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122074656,0,0.009039675,0.017787909,0.036643191,0,0.007659495,0,0,0,0.050797091,0,0.056048996,0,0.004276436,0.035427574,0.018686182,0.001508618,0.065005081,0.016917908,0.047220021,0.00345535,0.019397993,0.011306907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001848488,0,0.019187993,0.014548495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-06,0,0.009060154,0.096997124,0.400180216,0.144195882,0.221409239,0.131426807,0.003351955,0.152108674,0.118358055,0.50203999,0.258400719,0.045446308,0.234468161,0.046527161,0.144118981,0.152972669,0.13179115,0.012765042,0.120423104,0.044246181,0,0,0.000166293,0.002670585,0.034879278,0.026453961,0,0,0.102349789,0,0,0,0.062150586,0.062014145,0,0,0.042883355,0,0,0,0.076467721,0.35483871,0.009409706,0.041300448,0.000618958,0,0.023073289,0.002072422,0,0.012588376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-07,0,0.048101939,0.003734815,0.169869387,0.082935931,0.300400933,0.027286837,0.1766349,0.040267966,0,0.097447098,0.060391913,0.009705414,0,0,0.047454904,0.016805737,0.145449047,0.103384665,0.080366152,0.011659321,0.254289345,0.029985478,0,0,0.01965467,0.01139434,0,0,0,0,0,0,0,0.059344984,0.00128226,0.025101042,0.050390922,0,0.055096742,0.015381926,0.024322035,0,0.024184694,0.056833288,0.005136806,0.099797179,0.049608053,0.001955697,0.047608385,0.010273525,0.025397414,0.157639564,0.045986622,0.032508077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-08,0.007876855,0.00092264,0.22374889,0,0.094607318,0.28252091,0.347315089,0.336247125,0.801999788,0.610706607,0.266646625,0.088157719,0.131586896,0.028827808,0,0.057984032,0.149354685,0.114051003,0.03956742,0.032289588,0.066123234,0,0,0.074205672,0,0,0,0,0,0,0,0,0,0,0,0,0.019144863,0,0,0,0,0,0,0,0,0,0,0,0.000563805,0,0,0.000207652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077423,0.000191603,0.000219638,0
TTV-AMS-S1-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011170596,0,0,0,0.021038614,0,0,0,0,0,0,0.0056308,0,0,0,0,0,0,0,0,0,0.033141281,0.076451053,0,0,0.033975139,0,0.009643961,0,0,0.014371964,0.004589589,0,0.035086208,0.00265911,0,0,0.018060201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
